Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Indicateurs macro","Afghanistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","534.020133"
"Indicateurs macro","Afrique du Sud","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6723.928582"
"Indicateurs macro","Albanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4521.752217"
"Indicateurs macro","Algérie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4134.936055"
"Indicateurs macro","Allemagne","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","44670.222282"
"Indicateurs macro","Andorre","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","40632.206416"
"Indicateurs macro","Angola","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4042.681382"
"Indicateurs macro","Anguilla","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","18718.318718"
"Indicateurs macro","Antigua-et-Barbuda","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","16110.3124"
"Indicateurs macro","Arabie saoudite","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","20910.482962"
"Indicateurs macro","Argentine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","14609.78337"
"Indicateurs macro","Arménie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4041.995072"
"Indicateurs macro","Aruba","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","29329.092343"
"Indicateurs macro","Australie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","57489.804356"
"Indicateurs macro","Autriche","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","47429.535841"
"Indicateurs macro","Azerbaïdjan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4057.624007"
"Indicateurs macro","Bahamas","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","31303.530973"
"Indicateurs macro","Bahreïn","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","24349.836847"
"Indicateurs macro","Bangladesh","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1785.836613"
"Indicateurs macro","Barbade","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","17881.563253"
"Indicateurs macro","Bélarus","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5637.218192"
"Indicateurs macro","Belgique","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","44162.256256"
"Indicateurs macro","Belize","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6049.391948"
"Indicateurs macro","Bénin","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1095.274133"
"Indicateurs macro","Bermudes","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","112539.075464"
"Indicateurs macro","Bhoutan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3427.173682"
"Indicateurs macro","Bolivie (État plurinational de)","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3280.008213"
"Indicateurs macro","Bosnie-Herzégovine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5327.393184"
"Indicateurs macro","Botswana","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6705.339802"
"Indicateurs macro","Brésil","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","9896.717511"
"Indicateurs macro","Brunéi Darussalam","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","28186.946531"
"Indicateurs macro","Bulgarie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8237.83476"
"Indicateurs macro","Burkina Faso","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","711.184631"
"Indicateurs macro","Burundi","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","295.620936"
"Indicateurs macro","Cabo Verde","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3534.343583"
"Indicateurs macro","Cambodge","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1400.899265"
"Indicateurs macro","Cameroun","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1479.862223"
"Indicateurs macro","Canada","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","45125.109808"
"Indicateurs macro","Chili","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","15081.989132"
"Indicateurs macro","Chine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8955.415311"
"Indicateurs macro","Chine - RAS de Hong-Kong","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","45737.483211"
"Indicateurs macro","Chine - RAS de Macao","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","78896.274749"
"Indicateurs macro","Chine, continentale","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8729.13693"
"Indicateurs macro","Chypre","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","18987.256286"
"Indicateurs macro","Colombie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6450.319585"
"Indicateurs macro","Comores","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1414.586689"
