"Produit intérieur brut (PIB) nominal"
"Dollars US par habitant, 2017"
"Category";"Produit intérieur brut, par tête"
"Luxembourg";114862,528755
"Irlande";80556,528096
"Suisse";68148,568963
"Norvège";64589,163172
"États-Unis";60001,535826
"Islande";56644,702476
"Pays-Bas";56038,531947
"Danemark";55270,419717
"Allemagne";54110,276915
"Autriche";53885,119966
"Suède";51474,12143
"Australie";50693,576621
"Belgique";50255,854035
"Canada";48317,404026
"Finlande";47234,988667
"Royaume-Uni";46113,025546
"France";44527,541602
"OCDE";43874,829101
"Corée";43155,835282
"Italie";42142,314165
"Nlle-Zélande";41996,799105
"Japon";41531,221619
"Espagne";39877,2679
"Tchéquie";39620,866229
"Israël";39487,866564
"Slovénie";36189,974505
"Estonie";34553,447713
"Lituanie";33591,546378
"Portugal";32843,839011
"Rép. slovaque";30250,447061
"Pologne";30180,215303
"Hongrie";29728,012222
"Grèce";28681,647785
"Türkiye";28193,058996
"Lettonie";27661,271852
"Chili";24479,458726
"Mexique";20756,351176
"Costa Rica";20368,230268
"Colombie";14930,865719
